"symbol","nameEN","ALPHA","MKT","SMB","HML","RMW","CMA","R2adj"
"A","AREEYA PROPERTY PUBLIC COMPANY LIMITED","1e-05","0.3034","-0.00438","-0.0295","-0.04798","-0.09013","0.14512"
"A5","ASSET FIVE GROUP PUBLIC COMPANY LIMITED","0.00131","0.20631","0.36661","-0.26026","-0.01066","0.1857","0.00506"
"AAI","Asian Alliance International Public Company Limited","-0.00215","1.9599","1.95289","-0.15472","-0.19024","-0.13685","0.22859"
"AAV","ASIA AVIATION PUBLIC COMPANY LIMITED","-0.00021","1.37337","0.58257","0.04236","-0.46403","-0.00749","0.25556"
"ABM","ASIA BIOMASS PUBLIC COMPANY LIMITED","0.00042","1.30776","1.16972","0.08878","-0.14418","-0.07052","0.09722"
"ACAP","ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED","-0.00022","1.56331","1.09164","0.20329","-0.19954","-0.0857","0.08019"
"ACC","ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED","4e-05","0.77591","0.95295","0.09394","-0.01798","-0.04243","0.04814"
"ACE","ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED","-0.00122","1.10401","0.56503","-0.20211","-0.32549","0.05525","0.2398"
"ACG","AUTOCORP HOLDING PUBLIC COMPANY LIMITED","7e-05","1.16694","0.90087","0.024","-0.03982","0.20126","0.11289"
"ADB","APPLIED DB PUBLIC COMPANY LIMITED","9e-05","1.14434","1.19762","0.30279","-0.1049","-0.05762","0.11325"
"ADD","ADDTECH HUB PUBLIC COMPANY LIMITED","-0.00105","1.47067","1.36982","0.32127","0.77632","0.07168","0.11111"
"ADVANC","ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED","7e-05","0.74184","-0.2626","-0.53585","-0.23835","0.14555","0.27583"
"AEONTS","AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED","2e-04","1.08224","0.30737","0.00288","0.21161","0.19231","0.20318"
"AF","AIRA FACTORING PUBLIC COMPANY LIMITED","0.00062","0.61389","0.56991","0.0218","-0.04083","0.00574","0.03217"
"AFC","ASIA FIBER PUBLIC COMPANY LIMITED","0.00024","0.5464","0.6993","0.00856","-0.17837","0.09044","0.02533"
"AGE","ASIA GREEN ENERGY PUBLIC COMPANY LIMITED","-0.00014","1.36881","1.26683","0.16305","-0.12129","0.08972","0.1763"
"AH","AAPICO HITECH PUBLIC COMPANY LIMITED","0.00031","1.13068","0.94628","0.17871","0.15924","0.08427","0.16175"
"AHC","AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED","-1e-05","0.38353","0.33671","-0.03208","-0.0251","-0.00328","0.05152"
"AI","ASIAN INSULATORS PUBLIC COMPANY LIMITED","-0.00039","0.69526","0.63509","0.14171","0.17723","0.11347","0.08309"
"AIE","AI ENERGY PUBLIC COMPANY LIMITED","-0.00027","0.99544","0.97868","0.30026","-0.03949","0.01246","0.09311"
"AIMCG","AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST","-0.00068","0.66386","0.40471","0.25506","0.00768","-0.07483","0.20736"
